Product_ID,Product_Name,Sub_Category_id
FUR-BO-10001798,Bush Somerset Collection Bookcase,1
FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",2
OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,3
FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,4
OFF-ST-10000760,Eldon Fold 'N Roll Cart System,5
FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",6
OFF-AR-10002833,Newell 322,7
TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,8
OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,9
OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,10
FUR-TA-10001539,Chromcraft Rectangular Conference Tables,11
TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,12
OFF-PA-10002365,Xerox 1967,13
OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,14
OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",15
OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,16
OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72H x 36W x 18 1/2D",17
OFF-ST-10000107,Fellowes Super Stor/Drawer,18
OFF-AR-10003056,Newell 341,19
TEC-PH-10001949,Cisco SPA 501G IP Phone,20
OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1",21
OFF-AR-10000246,Newell 318,22
OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",23
FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",24
FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,25
OFF-BI-10001634,Wilson Jones Active Use Binders,26
TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,27
FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",28
OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,29
FUR-FU-10004848,Howard Miller 13-3/4 Diameter Brushed Chrome Round Wall Clock,30
OFF-EN-10001509,Poly String Tie Envelopes,31
OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",32
OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8 x 11, Executive Red",33
OFF-AR-10001683,Lumber Crayons,34
OFF-PA-10000249,Staples,35
TEC-PH-10004977,GE 30524EE4,36
FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",37
OFF-EN-10002986,#10-4 1/8 x 9 1/2 Premium Diagonal Seam Envelopes,38
FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",39
FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",40
TEC-PH-10000486,Plantronics HL10 Handset Lifter,41
TEC-PH-10004093,Panasonic Kx-TS550,42
OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",43
OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",44
TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45
OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,46
OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",47
TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,48
TEC-PH-10003988,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",49
OFF-BI-10004410,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",50
OFF-LA-10002762,Avery 485,51
FUR-FU-10001706,Longer-Life Soft White Bulbs,52
FUR-CH-10003061,"Global Leather Task Chair, Black",53
OFF-FA-10000304,Advantus Push Pins,54
TEC-PH-10002447,AT&T CL83451 4-Handset Telephone,55
OFF-ST-10000604,Home/Office Personal File Carts,56
OFF-PA-10001569,Xerox 232,57
FUR-CH-10003968,Novimex Turbo Task Chair,58
OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",59
TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,60
OFF-BI-10001460,Plastic Binding Combs,61
OFF-AR-10001868,Prang Dustless Chalk Sticks,62
TEC-AC-10004633,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",63
OFF-BI-10001078,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8 X 11",64
OFF-PA-10003892,Xerox 1943,65
FUR-FU-10000397,Luxo Economy Swing Arm Lamp,66
FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",67
OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",68
TEC-PH-10002726,netTALK DUO VoIP Telephone Service,69
OFF-PA-10000482,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",70
OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets,71
OFF-PA-10004675,"Telephone Message Books with Fax/Mobile Section, 5 1/2 x 3 3/16",72
FUR-CH-10000513,High-Back Leather Manager's Chair,73
FUR-FU-10003708,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36 x 48",74
OFF-ST-10004123,Safco Industrial Wire Shelving System,75
OFF-BI-10004182,Economy Binders,76
FUR-FU-10000260,"6 Cubicle Wall Clock, Black",77
OFF-ST-10000615,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",78
FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",79
OFF-AP-10002118,1.7 Cubic Foot Compact Cube Office Refrigerators,80
OFF-BI-10002309,Avery Heavy-Duty EZD  Binder With Locking Rings,81
OFF-AR-10002053,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",82
OFF-ST-10002370,"Sortfiler Multipurpose Personal File Organizer, Black",83
OFF-EN-10000927,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,84
OFF-ST-10003656,Safco Industrial Wire Shelving,85
FUR-CH-10000863,Novimex Swivel Fabric Task Chair,86
TEC-AC-10001998,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,87
OFF-LA-10000134,Avery 511,88
OFF-ST-10003442,Eldon Portable Mobile Manager,89
OFF-AR-10004930,Turquoise Lead Holder with Pocket Clip,90
TEC-PH-10004093,Panasonic Kx-TS550,91
OFF-PA-10000304,Xerox 1995,92
OFF-PA-10003177,Xerox 1999,93
FUR-FU-10003799,Seth Thomas 13 1/2 Wall Clock,94
OFF-BI-10002852,Ibico Standard Transparent Covers,95
OFF-BI-10004738,Flexible Leather- Look Classic Collection Ring Binder,96
FUR-FU-10000629,9-3/4 Diameter Round Wall Clock,97
OFF-BI-10001721,Trimflex Flexible Post Binders,98
OFF-AP-10000358,Fellowes Basic Home/Office Series Surge Protectors,99
OFF-PA-10003256,Avery Personal Creations Heavyweight Cards,100
TEC-AC-10001767,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,101
OFF-BI-10002609,Avery Hidden Tab Dividers for Binding Systems,102
OFF-PA-10004040,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),103
TEC-AC-10001552,Logitech K350 2.4Ghz Wireless Keyboard,104
FUR-FU-10004006,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",105
OFF-BI-10002794,"Avery Trapezoid Ring Binder, 3 Capacity, Black, 1040 sheets",106
TEC-AC-10003499,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,107
TEC-PH-10002844,Speck Products Candyshell Flip Case,108
OFF-AR-10000390,Newell Chalk Holder,109
TEC-AC-10000844,Logitech Gaming G510s - Keyboard,110
FUR-FU-10001934,Magnifier Swing Arm Lamp,111
OFF-AR-10000380,"Hunt PowerHouse Electric Pencil Sharpener, Blue",112
OFF-BI-10003981,Avery Durable Plastic 1 Binders,113
OFF-FA-10000621,"OIC Colored Binder Clips, Assorted Sizes",114
OFF-EN-10002600,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",115
OFF-PA-10004965,Xerox 1921,116
OFF-EN-10002504,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",117
FUR-TA-10001768,Hon Racetrack Conference Tables,118
OFF-BI-10003650,GBC DocuBind 300 Electric Binding Machine,119
FUR-FU-10002157,Artistic Insta-Plaque,120
OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,121
OFF-ST-10000777,"Companion Letter/Legal File, Black",122
OFF-EN-10002500,Globe Weis Peel & Seel First Class Envelopes,123
TEC-PH-10003875,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,124
FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,125
FUR-TA-10004534,Bevis 44 x 96 Conference Tables,126
OFF-BI-10003274,"Avery Durable Slant Ring Binders, No Labels",127
OFF-ST-10002974,"Trav-L-File Heavy-Duty Shuttle II, Black",128
FUR-CH-10001146,"Global Task Chair, Black",129
FUR-FU-10003773,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,130
TEC-PH-10002293,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,131
OFF-PA-10002377,Xerox 1916,132
OFF-FA-10002780,Staples,133
OFF-PA-10001804,Xerox 195,134
OFF-PA-10001736,Xerox 1880,135
OFF-AR-10001149,"Sanford Colorific Colored Pencils, 12/Box",136
OFF-FA-10002988,Ideal Clamps,137
OFF-BI-10004781,GBC Wire Binding Strips,138
OFF-SU-10001218,Fiskars Softgrip Scissors,139
FUR-FU-10001706,Longer-Life Soft White Bulbs,140
FUR-FU-10004848,Howard Miller 13-3/4 Diameter Brushed Chrome Round Wall Clock,141
OFF-AR-10000940,Newell 343,142
OFF-EN-10004030,Convenience Packs of Business Envelopes,143
OFF-PA-10004327,Xerox 1911,144
OFF-AP-10001058,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,145
OFF-ST-10003656,Safco Industrial Wire Shelving,146
FUR-FU-10000521,Seth Thomas 14 Putty-Colored Wall Clock,147
TEC-PH-10000215,Plantronics Cordless Phone Headset with In-line Volume - M214C,148
TEC-PH-10001448,Anker Astro 15000mAh USB Portable Charger,149
FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",150
OFF-BI-10002735,GBC Prestige Therm-A-Bind Covers,151
OFF-AP-10000326,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,152
TEC-PH-10001254,Jabra BIZ 2300 Duo QD Duo Corded Headset,153
OFF-PA-10001950,Southworth 25% Cotton Antique Laid Paper & Envelopes,154
OFF-PA-10002254,Xerox 1883,155
OFF-ST-10001590,"Tenex Personal Project File with Scoop Front Design, Black",156
OFF-AR-10001547,Newell 311,157
FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,158
OFF-LA-10002475,Avery 519,159
TEC-PH-10004536,Avaya 5420 Digital phone,160
OFF-PA-10002751,Xerox 1920,161
TEC-AC-10003657,Lenovo 17-Key USB Numeric Keypad,162
OFF-EN-10001990,Staples,163
OFF-BI-10004002,Wilson Jones International Size A4 Ring Binders,164
OFF-AR-10004441,BIC Brite Liner Highlighters,165
TEC-MA-10000822,Lexmark MX611dhe Monochrome Laser Printer,166
OFF-ST-10000991,Space Solutions HD Industrial Steel Shelving.,167
FUR-CH-10004287,SAFCO Arco Folding Chair,168
OFF-AR-10002656,Sanford Liquid Accent Highlighters,169
OFF-AP-10002518,Kensington 7 Outlet MasterPiece Power Center,170
TEC-PH-10003931,JBL Micro Wireless Portable Bluetooth Speaker,171
OFF-PA-10000659,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",172
OFF-PA-10001144,Xerox 1913,173
FUR-CH-10003817,"Global Value Steno Chair, Gray",174
OFF-AP-10000891,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,175
OFF-LA-10003148,Avery 51,176
OFF-AP-10002684,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",177
FUR-CH-10004698,"Padded Folding Chairs, Black, 4/Carton",178
OFF-SU-10002189,Acme Rosewood Handle Letter Opener,179
OFF-AR-10001940,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",180
OFF-ST-10003455,"Tenex File Box, Personal Filing Tote with Lid, Black",181
TEC-AC-10004659,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,182
TEC-PH-10003273,AT&T TR1909W,183
TEC-PH-10004896,Nokia Lumia 521 (T-Mobile),184
TEC-AC-10002345,HP Standard 104 key PS/2 Keyboard,185
