sub_category_ID,Sub_Category,category_id
1,Bookcases,1
2,Chairs,2
3,Labels,3
4,Tables,4
5,Storage,5
6,Furnishings,6
7,Art,7
8,Phones,8
9,Binders,9
10,Appliances,10
11,Tables,11
12,Phones,12
13,Paper,13
14,Binders,14
15,Appliances,15
16,Binders,16
17,Storage,17
18,Storage,18
19,Art,19
20,Phones,20
21,Binders,21
22,Art,22
23,Appliances,23
24,Chairs,24
25,Tables,25
26,Binders,26
27,Accessories,27
28,Bookcases,28
29,Binders,29
30,Furnishings,30
31,Envelopes,31
32,Art,32
33,Binders,33
34,Art,34
35,Paper,35
36,Phones,36
37,Furnishings,37
38,Envelopes,38
39,Bookcases,39
40,Chairs,40
41,Phones,41
42,Phones,42
43,Storage,43
44,Storage,44
45,Accessories,45
46,Binders,46
47,Storage,47
48,Accessories,48
49,Phones,49
50,Binders,50
51,Labels,51
52,Furnishings,52
53,Chairs,53
54,Fasteners,54
55,Phones,55
56,Storage,56
57,Paper,57
58,Chairs,58
59,Paper,59
60,Accessories,60
61,Binders,61
62,Art,62
63,Accessories,63
64,Binders,64
65,Paper,65
66,Furnishings,66
67,Chairs,67
68,Art,68
69,Phones,69
70,Paper,70
71,Binders,71
72,Paper,72
73,Chairs,73
74,Furnishings,74
75,Storage,75
76,Binders,76
77,Furnishings,77
78,Storage,78
79,Furnishings,79
80,Appliances,80
81,Binders,81
82,Art,82
83,Storage,83
84,Envelopes,84
85,Storage,85
86,Chairs,86
87,Accessories,87
88,Labels,88
89,Storage,89
90,Art,90
91,Phones,91
92,Paper,92
93,Paper,93
94,Furnishings,94
95,Binders,95
96,Binders,96
97,Furnishings,97
98,Binders,98
99,Appliances,99
100,Paper,100
101,Accessories,101
102,Binders,102
103,Paper,103
104,Accessories,104
105,Furnishings,105
106,Binders,106
107,Accessories,107
108,Phones,108
109,Art,109
110,Accessories,110
111,Furnishings,111
112,Art,112
113,Binders,113
114,Fasteners,114
115,Envelopes,115
116,Paper,116
117,Envelopes,117
118,Tables,118
119,Binders,119
120,Furnishings,120
121,Binders,121
122,Storage,122
123,Envelopes,123
124,Phones,124
125,Chairs,125
126,Tables,126
127,Binders,127
128,Storage,128
129,Chairs,129
130,Furnishings,130
131,Phones,131
132,Paper,132
133,Fasteners,133
134,Paper,134
135,Paper,135
136,Art,136
137,Fasteners,137
138,Binders,138
139,Supplies,139
140,Furnishings,140
141,Furnishings,141
142,Art,142
143,Envelopes,143
144,Paper,144
145,Appliances,145
146,Storage,146
147,Furnishings,147
148,Phones,148
149,Phones,149
150,Chairs,150
151,Binders,151
152,Appliances,152
153,Phones,153
154,Paper,154
155,Paper,155
156,Storage,156
157,Art,157
158,Chairs,158
159,Labels,159
160,Phones,160
161,Paper,161
162,Accessories,162
163,Envelopes,163
164,Binders,164
165,Art,165
166,Machines,166
167,Storage,167
168,Chairs,168
169,Art,169
170,Appliances,170
171,Phones,171
172,Paper,172
173,Paper,173
174,Chairs,174
175,Appliances,175
176,Labels,176
177,Appliances,177
178,Chairs,178
179,Supplies,179
180,Art,180
181,Storage,181
182,Accessories,182
183,Phones,183
